City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Skibbereen,51.55,-9.27,41,100,75,8.05,IE,1608419413
Maragogi,-9.01,-35.22,78.08,77,4,10.65,BR,1608419345
Young,-32.68,-57.63,73,55,0,8.01,UY,1608419413
Hong Kong,22.29,114.16,54,67,98,1.99,HK,1608418977
Aklavik,68.22,-135.01,-36.4,65,20,4.7,CA,1608419043
Praia,14.92,-23.51,73.4,69,75,20.8,CV,1608419191
Faanui,-16.48,-151.75,80.04,76,92,11.27,PF,1608419142
Boksitogorsk,59.47,33.85,32,94,100,1.01,RU,1608419414
Thompson,55.74,-97.86,-5.8,76,90,5.82,CA,1608419144
Binabalian Ricor,16.42,119.93,78.75,81,100,10.07,PH,1608419414
La Uvita,6.32,-72.56,54.72,86,55,1.68,CO,1608419414
Alta Floresta,-9.88,-56.09,75.85,88,94,1.81,BR,1608419180
Chapais,49.78,-74.85,23,92,90,6.93,CA,1608419165
Cherskiy,68.75,161.3,-28.66,85,2,2.26,RU,1608418824
Shimoda,34.67,138.95,35.01,74,9,1.01,JP,1608418991
Ulladulla,-35.35,150.47,68,82,90,5.82,AU,1608419184
San Patricio,28.02,-97.52,78.8,54,40,17.22,US,1608418818
Dombarovskiy,50.76,59.54,-7.73,89,3,10.27,RU,1608419415
Okha,53.57,142.95,-6.21,90,100,17.36,RU,1608419415
Vardø,70.37,31.11,27.1,97,100,5.46,NO,1608419148
Fort Nelson,58.81,-122.7,-11.2,69,75,2.17,CA,1608419342
Iqaluit,63.75,-68.51,17.6,85,90,27.51,CA,1608419177
Pīpār,26.39,73.54,55.04,34,96,8.5,IN,1608419415
Buala,-8.14,159.59,85.91,68,4,6.78,SB,1608419189
Sokolo,14.73,-6.12,74.43,20,0,14.23,ML,1608419415
Melville,40.79,-73.42,32,93,1,3.36,US,1608419416
Viedma,-40.81,-63,57.99,65,63,8.01,AR,1608419161
Richards Bay,-28.78,32.04,75.06,78,0,15.43,ZA,1608419160
Mareeba,-17,145.43,90,63,43,1.99,AU,1608419338
Rovnoye,50.78,46.05,11.77,90,100,7.74,RU,1608419416
Utiel,39.57,-1.2,46,80,100,4.68,ES,1608419416
Natal,-5.79,-35.21,80.6,74,40,11.41,BR,1608419407
Surab,28.49,66.26,41.79,56,76,0.81,PK,1608419417
Port Blair,11.67,92.75,79.65,81,22,11.54,IN,1608419417
Jāwā,31.85,35.94,50,76,0,7.52,JO,1608419417
Chateaubelair,13.28,-61.25,80.6,78,40,14.99,VC,1608419417
George Town,5.41,100.34,77,94,40,9.17,MY,1608418989
Constitución,-35.33,-72.42,57.88,69,55,17.09,CL,1608419189
Waterloo,43.47,-80.52,32,98,90,8.05,CA,1608419191
Pangnirtung,66.15,-65.71,11.48,79,100,11.83,CA,1608419154
Coquimbo,-29.95,-71.34,62.6,67,0,13.87,CL,1608419270
Los Llanos de Aridane,28.66,-17.92,64.4,77,0,6.93,ES,1608418822
Dianalund,55.53,11.49,43,100,55,2.24,DK,1608419418
Loon,9.8,123.79,78.8,94,90,2.24,PH,1608419418
Berbera,10.44,45.01,78.31,82,99,9.73,SO,1608419168
Walvis Bay,-22.96,14.51,61,87,39,9.17,NA,1608419418
Shellbrook,53.22,-106.4,17.6,72,75,23.04,CA,1608419418
Ust-Maya,60.42,134.53,-29.97,84,100,2.57,RU,1608419418
Vega de Alatorre,20.03,-96.63,75.96,80,68,7.27,MX,1608419419
Zhigansk,66.77,123.37,-41.62,79,78,7.23,RU,1608419172
Moussoro,13.64,16.49,69.3,23,0,11.07,TD,1608419419
Vila Franca do Campo,37.72,-25.43,62.6,100,75,14.99,PT,1608419161
Thanh Pho Uong Bi,21.03,106.78,57.2,50,90,8.05,VN,1608419419
Mt. Pleasant,32.79,-79.86,51.01,87,20,6.89,US,1608419420
Kahului,20.89,-156.47,84.2,58,40,24.16,US,1608419147
Apiaí,-24.51,-48.84,68.56,100,63,2.06,BR,1608419265
Mossamedes,-15.2,12.15,69.08,72,86,1.1,AO,1608419152
Catuday,16.29,119.81,76.23,88,100,9.19,PH,1608419420
Bud,39.45,-86.18,39.99,93,90,9.17,US,1608419189
Safi,32.3,-9.24,59.31,70,24,2.84,MA,1608419420
Örnsköldsvik,63.29,18.72,37.4,100,90,3.36,SE,1608419420
Lamar,33.67,-95.58,50,93,90,6.93,US,1608419420
Farnes,61.32,7.8,37.54,81,100,6.49,NO,1608419421
Manacapuru,-3.3,-60.62,75.2,94,75,3.36,BR,1608419360
Avilés,43.55,-5.92,52,76,40,6.93,ES,1608419378
Saldanha,-33.01,17.94,66.2,68,0,11.41,ZA,1608419189
Kalanguy,51.02,116.52,-1.82,91,14,3.65,RU,1608419421
Fort Payne,34.44,-85.72,50,71,75,5.82,US,1608419212
Buchanan,5.88,-10.05,79.5,83,62,7.31,LR,1608419422
Pandan,14.05,124.17,78.93,88,100,15.82,PH,1608419423
Verkhoyansk,67.54,133.38,-39.37,79,22,0.74,RU,1608419197
Banikoara,11.3,2.44,73.74,20,20,4.81,BJ,1608419423
Guilin,25.28,110.29,39.2,64,75,2.24,CN,1608419423
Watsa,3.04,29.54,66.11,57,56,2.57,CD,1608419423
Ternate,0.8,127.4,81.34,79,100,7.65,ID,1608419423
Almaznyy,48.04,40.05,30.2,100,90,6.71,RU,1608419423
Leningradskiy,69.38,178.42,2.48,92,100,2.95,RU,1608419169
Tārānagar,28.67,75.04,53.28,32,99,6.35,IN,1608419424
Algiers,36.75,3.04,57.2,93,75,3.36,DZ,1608419235
Kisangani,0.52,25.2,69.93,95,80,3.51,CD,1608419424
Babat,-7.11,112.16,74.91,90,100,5.46,ID,1608419424
Hirara,24.8,125.28,64.4,77,75,18.34,JP,1608419424
Kokorevka,52.59,34.28,33.04,99,100,3.62,RU,1608419424
Huainan,32.63,117,31.75,83,7,2.19,CN,1608419425
Ode,7.79,5.71,78.26,67,88,6.55,NG,1608419425
Lensk,60.73,114.93,14.61,93,100,12.15,RU,1608419425
Haines Junction,60.75,-137.51,7.11,90,100,2.26,CA,1608419149
Tres Arroyos,-38.37,-60.28,56.21,74,98,20.02,AR,1608419425
San Francisco del Mar Viejo,16.23,-94.65,83.19,66,0,16.46,MX,1608419425
Ancud,-41.87,-73.82,59,67,75,2.24,CL,1608419425
Forsytheganj,52.63,29.73,33.48,97,74,2.95,BY,1608419160
Great Yarmouth,52.61,1.73,46.99,87,19,9.17,GB,1608419280
Voh,-20.97,164.7,84.47,47,0,4.18,NC,1608419426
Puerto Escondido,15.85,-97.07,82.4,74,40,2.26,MX,1608419197
Laas,46.62,10.7,33.01,86,5,1.68,IT,1608419426
Baykit,61.67,96.37,-11.78,84,78,4.36,RU,1608419426
Haradok,55.46,29.98,34.39,97,100,6.78,BY,1608419426
Neiafu,-18.65,-173.98,77,94,75,16.11,TO,1608419426
Fairbanks,64.84,-147.72,-7.01,69,75,4.7,US,1608419053
Yulara,-25.24,130.99,71.6,73,79,5.82,AU,1608419156
Tegul'det,57.31,88.17,5.76,94,100,5.17,RU,1608419427
Saint George,37.1,-113.58,53.01,33,1,1.36,US,1608419141
Karratha,-20.74,116.85,92.8,28,97,14.52,AU,1608419196
Misratah,32.38,15.09,63.99,71,56,17.69,LY,1608419427
Yangi Marg`ilon,40.43,71.72,32,75,100,6.93,UZ,1608419427
Olinda,-8.01,-34.86,78.8,69,40,8.05,BR,1608419163
Comodoro Rivadavia,-45.87,-67.5,64.4,48,40,18.34,AR,1608419427
Nanortalik,60.14,-45.24,19.6,92,32,7.81,GL,1608419427
Te Anau,-45.42,167.72,58.69,71,91,3.56,NZ,1608419428
Klaksvík,62.23,-6.59,42.8,100,35,5.82,FO,1608419146
Wollongong,-34.43,150.88,73.99,76,100,1.99,AU,1608419428
Deer Lake,49.17,-57.43,24.8,85,90,2.24,CA,1608419186
Chambishi,-12.63,28.05,62.49,95,74,5.59,ZM,1608419428
São Borja,-28.66,-56,80.08,73,29,8.52,BR,1608419428
San Policarpo,12.18,125.51,80.4,86,100,16.22,PH,1608419428
Bouna,9.27,-3,80.29,26,12,3.13,CI,1608419429
Collie,-33.37,116.15,59,78,25,1.99,AU,1608419429
Oga,46.46,10.35,48,100,90,2.82,IT,1608419194
Doha,25.29,51.53,68,68,0,6.93,QA,1608419195
Cravo Norte,6.3,-70.2,79.45,73,17,5.91,CO,1608419429
Taoudenni,22.68,-3.98,60.64,37,0,9.95,ML,1608419429
Puerto Colombia,10.99,-74.95,82.4,78,0,17.22,CO,1608419429
Brae,60.4,-1.35,48.2,76,37,24.16,GB,1608418914
Padang,-0.95,100.35,76.57,72,99,3.76,ID,1608419185
Nouadhibou,20.93,-17.03,64.4,68,0,18.34,MR,1608419430
Plettenberg Bay,-34.05,23.37,68.04,89,24,4.27,ZA,1608419430
Luba,3.46,8.55,75.2,100,20,2.24,GQ,1608419430
Mount Isa,-20.73,139.5,77,83,90,13.87,AU,1608419430
Kholtoson,50.3,103.31,-3.59,85,0,4.05,RU,1608419430
Lockhart,28.62,-81.44,71.6,56,90,10.29,US,1608419200
Cayenne,4.93,-52.33,77,94,75,6.93,GF,1608419184
Ambilobe,-13.2,49.05,75.72,88,21,2.17,MG,1608419049
Gobabis,-22.45,18.97,71.6,73,100,9.17,NA,1608419431
Boa Esperança,-21.09,-45.57,72.1,83,20,1.9,BR,1608419431
Alice Springs,-23.7,133.88,80.01,74,90,4.7,AU,1608418964
Gondanglegi,-7.75,112.01,75.11,87,100,7.23,ID,1608419431
Palmer,42.16,-72.33,27,57,75,2.44,US,1608419275
Kruisfontein,-34,24.73,70,93,23,3,ZA,1608419155
San Fernando del Valle de Catamarca,-28.47,-65.79,73.99,49,1,1.99,AR,1608419431
Vangaindrano,-23.35,47.6,75.22,91,98,5.19,MG,1608419432
Jiangkou,25.49,119.2,50,66,75,8.95,CN,1608419432
East London,-33.02,27.91,73.78,92,11,7.74,ZA,1608419148
Sur,22.57,59.53,65.89,66,10,1.81,OM,1608419165
Agirish,61.92,63.02,8.17,87,47,14.2,RU,1608419432
Carnarvon,-24.87,113.63,73.4,88,0,23.04,AU,1608419433
Kaitangata,-46.28,169.85,60.01,66,58,11.99,NZ,1608419171
Batagay,67.63,134.63,-39.62,79,9,1.14,RU,1608419188
Cotonou,6.37,2.42,82.4,83,20,9.17,BJ,1608419371
Mount Gambier,-37.83,140.77,57.2,58,0,12.75,AU,1608419157
Darnah,32.77,22.64,59.23,77,1,8.7,LY,1608419433
Phalombe,-15.81,35.65,69.53,89,100,3.38,MW,1608419433
Saint-Augustin,51.23,-58.65,15.84,87,0,4.41,CA,1608419344
Horsham,51.06,-0.33,48,93,40,6.93,GB,1608419433
Nemuro,43.32,145.57,24.96,91,95,29.55,JP,1608419341
Arevik,40.1,44.09,26.6,86,33,1.95,AM,1608419434
Tutóia,-2.76,-42.27,81.18,78,26,14.14,BR,1608419434
Yar-Sale,66.83,70.83,8.8,95,100,9.46,RU,1608419189
Aswān,24.09,32.91,59.63,61,96,8.23,EG,1608419194
Ilulissat,69.22,-51.1,10.4,60,95,19.46,GL,1608419207
Moerai,-22.43,-151.33,80.42,76,100,17.07,PF,1608419434
Katsuura,35.13,140.3,41,44,0,1.01,JP,1608419164
Quesnel,53,-122.5,35.6,74,90,11.41,CA,1608419434
Lüderitz,-26.65,15.16,60.8,87,10,10.29,NA,1608419149
Bitkine,11.98,18.21,67.46,23,87,6.17,TD,1608419435
New Norfolk,-42.78,147.06,60.01,68,80,1.01,AU,1608419435
Mpanda,-6.37,31.04,63,96,90,1.14,TZ,1608419435
San Miguel de Tucumán,-26.82,-65.22,87.8,25,0,6.93,AR,1608419172
Tromsø,69.65,18.96,33.8,69,75,6.93,NO,1608419428
Novoasbest,57.74,60.29,4.21,85,0,6.87,RU,1608419435
San Vicente,-26.62,-54.13,71.69,100,76,0.63,AR,1608419189
Gao,16.64,1.64,74.08,21,3,7.81,ML,1608419435
Santo Antônio de Jesus,-12.97,-39.26,75.6,73,100,6.22,BR,1608419350
Bhagwantnagar,26.23,80.75,41,93,1,5.55,IN,1608419435
Flinders,-34.58,150.86,73.99,76,100,1.99,AU,1608419176
Kondopoga,62.21,34.26,26.6,92,90,3.27,RU,1608419436
Dukat,62.55,155.55,-29.81,84,86,3.31,RU,1608419436
Alofi,-19.06,-169.92,86,66,100,11.41,NU,1608419149
Kupang,-10.17,123.58,75.2,100,90,4.7,ID,1608419342
Boddam,57.47,-1.78,44.01,87,75,17.22,GB,1608419436
Trairi,-3.28,-39.27,79.43,76,97,10.36,BR,1608419169
High Level,58.52,-117.14,-7.6,76,75,2.24,CA,1608419436
Boa Vista,2.82,-60.67,84.2,62,40,9.17,BR,1608419150
Farafangana,-22.82,47.83,76.01,89,99,6.85,MG,1608419437
Zarechnyy,53.2,45.19,9.7,92,100,6.35,RU,1608419437
Dyurtyuli,55.49,54.87,-8.63,88,0,0.45,RU,1608419437
Avera,33.19,-82.53,46.4,65,1,3.36,US,1608419169
Kerman,30.28,57.08,39.2,100,90,6.93,IR,1608419231
Paamiut,61.99,-49.67,23.16,87,10,8.01,GL,1608419177
Mehamn,71.04,27.85,29.37,95,98,22.26,NO,1608419188
Karaton,-6.34,106.1,79,88,40,12.75,ID,1608419438
Sapele,5.89,5.68,77.54,89,89,3.98,NG,1608419183
Montepuez,-13.13,39,71.53,90,87,5.21,MZ,1608419438
Fountain Hills,33.61,-111.72,66,20,1,5.82,US,1608419422
Sheregesh,52.92,87.99,15.44,93,100,3,RU,1608419438
Hualmay,-11.1,-77.61,70.43,74,37,11.54,PE,1608419159
Hobyo,5.35,48.53,78.94,78,21,17.81,SO,1608419438
Fairmont,39.49,-80.14,35.01,89,100,4.21,US,1608419167
Vestmanna,62.16,-7.17,42.8,100,79,5.82,FO,1608419439
Hambantota,6.12,81.12,76.68,88,92,16.96,LK,1608419439
Morro Bay,35.37,-120.85,69.01,52,2,3,US,1608419439
Matara,5.95,80.54,75.18,90,80,6.91,LK,1608419338
Abu Dhabi,24.47,54.37,69.8,83,20,12.24,AE,1608419439
Panabá,21.28,-88.27,72.5,85,62,8.84,MX,1608419439
Ardakān,32.31,54.02,40.48,83,16,5.17,IR,1608419439
Dhidhdhoo,6.88,73.1,82.51,76,98,8.21,MV,1608419349
Guerrero Negro,27.98,-114.06,70.3,24,0,10.74,MX,1608419154
Preiļi,56.29,26.72,33.57,97,94,5.91,LV,1608419440
Dingle,11,122.67,77.81,90,86,2.98,PH,1608419163
Cedar Rapids,42.01,-91.64,28.99,86,90,9.17,US,1608419440
Lodi,38.13,-121.27,57.99,71,0,3,US,1608419350
Dalby,-27.18,151.27,77,69,90,13.87,AU,1608419440
Bubaque,11.28,-15.83,81.5,70,0,10.27,GW,1608419440
Cuiluan,47.72,128.65,-7.71,86,0,4.38,CN,1608419440
Shingū,33.73,135.98,42.8,60,40,18.34,JP,1608419440
Mahon,39.89,4.27,51.8,93,0,1.12,ES,1608419441
Jhajha,24.77,86.37,49.73,47,0,4.27,IN,1608419441
Puerto Madero,14.72,-92.42,86,66,40,8.05,MX,1608419441
